depth,ion
41.3,0.6
41.4,0.6
41.5,0.6
41.6,0.6
41.7,0.6
41.8,0.6
41.9,0.6
42,0.6
42.1,0.6
42.2,0.6
42.3,0.6
42.4,0.6
42.5,0.6
42.6,0.6
42.7,0.6
42.8,0.6
42.9,0.6
43,0.6
43.1,0.6
43.2,0.6
43.3,0.6
43.4,0.6
43.5,0.6
43.6,0.6
43.7,0.6
43.8,0.6
43.9,0.6
44,0.6
44.1,0.6
44.2,0.6
44.3,0.6
44.4,0.6
44.5,0.6
44.6,0.6
44.7,0.6
44.8,0.6
44.9,0.6
45,0.6
45.1,0.6
45.2,0.6
45.3,0.6
45.4,0.6
45.5,0.6
45.6,0.6
45.7,0.6
45.8,0.6
45.9,0.6
46,0.6
46.1,0.6
46.2,0.6
46.3,0.6
46.4,0.6
46.5,0.6
46.6,0.6
46.7,0.6
46.8,0.6
46.9,0.6
47,0.6
47.1,0.6
47.2,0.6
47.3,0.6
47.4,0.5
47.5,0.5
47.6,0.5
47.7,0.5
47.8,0.5
47.9,0.5
48,0.5
48.1,0.5
48.2,0.5
48.3,0.5
48.4,0.5
48.5,0.5
48.6,0.5
48.7,0.5
48.8,0.5
48.9,0.5
49,0.5
49.1,0.5
49.2,0.5
49.3,0.5
49.4,0.5
49.5,0.5
49.6,0.5
49.7,0.5
